"Player,Pos,Dist.,3P"
"Precious Achiuwa\achiupr01,PF,3.5,.000"
"Jaylen Adams\adamsja01,PG,11.0,.250"
"Steven Adams\adamsst01,C,3.9,.013"
"Bam Adebayo\adebaba01,C,8.0,.014"
"LaMarcus Aldridge\aldrila01,C,16.6,.302"
"Ty-Shon Alexander\alexaty01,SG,21.5,.500"
"Nickeil Alexander-Walker\alexani01,SG,15.9,.508"
"Grayson Allen\allengr01,SG,19.3,.658"
"Jarrett Allen\allenja01,C,4.3,.036"
"Al-Farouq Aminu\aminual01,PF,12.8,.356"
"Kyle Anderson\anderky01,PF,14.5,.383"
"Giannis Antetokounmpo\antetgi01,PF,9.4,.207"
"Kostas Antetokounmpo\antetko01,PF,3.0,.000"
"Thanasis Antetokounmpo\antetth01,SF,8.6,.221"
"Carmelo Anthony\anthoca01,PF,17.4,.387"
"Cole Anthony\anthoco01,PG,13.2,.309"
"OG Anunoby\anunoog01,SF,15.0,.516"
"Ryan Arcidiacono\arcidry01,PG,18.8,.603"
"Trevor Ariza\arizatr01,F,16.1,.556"
"D.J. Augustin\augusdj01,PG,19.3,.646"
"Deni Avdija\avdijde01,SF,16.7,.548"
"Deandre Ayton\aytonde01,C,5.9,.036"
"Udoka Azubuike\azubuud01,C,2.7,.000"
"Dwayne Bacon\bacondw01,SG,13.3,.323"
"Marvin Bagley III\baglema01,PF,9.1,.231"
"LaMelo Ball\ballla01,PG,14.2,.411"
"Lonzo Ball\balllo01,PG,18.9,.642"
"Mo Bamba\bambamo01,C,13.9,.376"
"Desmond Bane\banede01,SG,16.6,.525"
"Harrison Barnes\barneha02,PF,12.0,.376"
"RJ Barrett\barrerj01,SG,10.4,.234"
"Will Barton\bartowi01,SF,14.4,.420"
"Keita Bates-Diop\bateske01,SF,13.7,.469"
"Nicolas Batum\batumni01,SF,19.4,.677"
"Aron Baynes\baynear01,C,11.1,.336"
"Kent Bazemore\bazemke01,SF,15.6,.498"
"Darius Bazley\bazleda01,PF,14.4,.462"
"Bradley Beal\bealbr01,SG,14.1,.287"
"Malik Beasley\beaslma01,SG,16.2,.526"
"Jordan Bell\belljo01,C,6.8,.133"
"DeAndre' Bembry\bembrde01,SF,8.6,.237"
"D_vis Bert_ns\bertada01,PF,24.5,.882"
"Patrick Beverley\beverpa01,PG,18.2,.657"
"Saddiq Bey\beysa01,SF,19.4,.688"
"Tyler Bey\beyty01,SF,7.9,.111"
"Khem Birch\birchkh01,C,7.7,.102"
"Goga Bitadze\bitadgo01,C,11.1,.333"
"Bismack Biyombo\biyombi01,C,2.7,.006"
"Nemanja Bjelica\bjeline01,PF,12.7,.387"
"Eric Bledsoe\bledser01,SG,16.5,.485"
"Keljin Blevins\blevike01,SF,11.8,.364"
"Bogdan Bogdanovi_\bogdabo01,SG,19.1,.634"
"Bojan Bogdanovi_\bogdabo02,SF,16.3,.542"
"Bol Bol\bolbo01,PF,16.7,.500"
"Marques Bolden\boldema01,C,7.7,.000"
"Jordan Bone\bonejo01,PG,20.8,.593"
"Isaac Bonga\bongais01,SF,16.3,.593"
"Devin Booker\bookede01,SG,14.6,.308"
"Chris Boucher\bouchch01,C,12.3,.407"
"Brian Bowen\bowenbr02,SF,12.0,.000"
"Avery Bradley\bradlav01,SG,17.8,.576"
"Tony Bradley\bradlto01,C,3.7,.013"
"Jarrell Brantley\brantja01,PF,18.4,.643"
"Ignas Brazdeikis\brazdig01,SF,15.0,.000"
"Mikal Bridges\bridgmi01,SF,14.2,.463"
"Miles Bridges\bridgmi02,PF,13.3,.446"
