"Player,Pos,3P,3PA"
"Precious Achiuwa\achiupr01,PF,0.0,0.0"
"Jaylen Adams\adamsja01,PG,0.0,0.3"
"Steven Adams\adamsst01,C,0.0,0.1"
"Bam Adebayo\adebaba01,C,0.1,0.2"
"LaMarcus Aldridge\aldrila01,C,1.3,3.6"
"Ty-Shon Alexander\alexaty01,SG,0.0,0.5"
"Nickeil Alexander-Walker\alexani01,SG,1.5,4.4"
"Grayson Allen\allengr01,SG,2.1,5.2"
"Jarrett Allen\allenja01,C,0.1,0.3"
"Al-Farouq Aminu\aminual01,PF,0.4,1.8"
"Kyle Anderson\anderky01,PF,1.4,3.7"
"Giannis Antetokounmpo\antetgi01,PF,1.1,3.8"
"Kostas Antetokounmpo\antetko01,PF,0.0,0.0"
"Thanasis Antetokounmpo\antetth01,SF,0.2,0.5"
"Carmelo Anthony\anthoca01,PF,1.8,4.6"
"Cole Anthony\anthoco01,PG,1.1,3.3"
"OG Anunoby\anunoog01,SF,2.3,5.6"
"Ryan Arcidiacono\arcidry01,PG,0.6,1.7"
"Trevor Ariza\arizatr01,F,1.0,4.0"
"D.J. Augustin\augusdj01,PG,1.3,3.5"
"Deni Avdija\avdijde01,SF,1.0,3.0"
"Deandre Ayton\aytonde01,C,0.1,0.4"
"Udoka Azubuike\azubuud01,C,0.0,0.0"
"Dwayne Bacon\bacondw01,SG,1.0,3.1"
"Marvin Bagley III\baglema01,PF,0.9,2.6"
"LaMelo Ball\ballla01,PG,2.0,5.3"
"Lonzo Ball\balllo01,PG,3.0,7.8"
"Mo Bamba\bambamo01,C,0.5,1.7"
"Desmond Bane\banede01,SG,1.7,3.8"
"Harrison Barnes\barneha02,PF,1.5,4.1"
"RJ Barrett\barrerj01,SG,1.2,3.5"
"Will Barton\bartowi01,SF,1.7,4.6"
"Keita Bates-Diop\bateske01,SF,0.3,0.9"
"Nicolas Batum\batumni01,SF,1.8,4.3"
"Aron Baynes\baynear01,C,0.5,2.0"
"Kent Bazemore\bazemke01,SF,0.9,2.4"
"Darius Bazley\bazleda01,PF,1.5,5.2"
"Bradley Beal\bealbr01,SG,2.2,6.5"
"Malik Beasley\beaslma01,SG,3.5,8.8"
"Jordan Bell\belljo01,C,0.0,0.7"
"DeAndre' Bembry\bembrde01,SF,0.3,0.9"
"D_vis Bert_ns\bertada01,PF,2.8,7.3"
